
> ecs-experiment@0.0.0 benchmark
> npm run asbuild && npx tsx scripts/run_benchmarks.ts


> ecs-experiment@0.0.0 asbuild
> asc src/benchmarks/assembly/index.ts -o public/benchmark_wasm_ecs.wasm -O --noAssert && asc src/benchmarks/assembly/tree.ts -o public/benchmark_wasm_tree.wasm -O --noAssert


Running benchmark for: WANDER with 5000 entities...

### Results for WANDER (5000 entities)
| System | Avg Frame Time | 99th Percentile | Speedup vs OOP S&P (Insertion) |
| ECS Tree | 16.924 ms | 18.137 ms | 7.69x |
| bitECS S&P (Insertion) | 36.033 ms | 41.897 ms | 3.61x |
| bitECS S&P (Quick) | 5.305 ms | 6.008 ms | 24.54x |
| bitECS S&P (Merge) | 5.579 ms | 6.068 ms | 23.34x |
| bitECS S&P (Native) | 6.927 ms | 7.846 ms | 18.80x |
| WASM ECS S&P (Insertion) | 32.079 ms | 35.198 ms | 4.06x |
| WASM ECS S&P (Quick) | 2.092 ms | 2.233 ms | 62.24x |
| WASM ECS S&P (Merge) | 1.335 ms | 1.384 ms | 97.57x |
| WASM Tree | 16.653 ms | 17.853 ms | 7.82x |

Running benchmark for: STATIC with 15000 entities...

### Results for STATIC (15000 entities)
| System | Avg Frame Time | 99th Percentile | Speedup vs OOP S&P (Insertion) |
| :--- | :--- | :--- | :--- |
| OOP S&P (Insertion) | 5.014 ms | 6.830 ms | 1.00x |
| OOP S&P (Quick) | 5.271 ms | 7.166 ms | 0.95x |
| OOP S&P (Merge) | 5.358 ms | 7.503 ms | 0.94x |
| OOP S&P (Native) | 4.988 ms | 7.253 ms | 1.01x |
| OOP Tree | 6.737 ms | 8.486 ms | 0.74x |
| Custom ECS S&P (Insertion) | 3.217 ms | 3.389 ms | 1.56x |
| Custom ECS S&P (Quick) | 3.344 ms | 3.628 ms | 1.50x |
| Custom ECS S&P (Merge) | 3.431 ms | 3.637 ms | 1.46x |
| Custom ECS S&P (Native) | 4.017 ms | 5.926 ms | 1.25x |
| ECS Tree | 4.768 ms | 6.710 ms | 1.05x |
| bitECS S&P (Insertion) | 3.283 ms | 3.442 ms | 1.53x |
| bitECS S&P (Quick) | 3.375 ms | 3.586 ms | 1.49x |
| bitECS S&P (Merge) | 3.430 ms | 3.629 ms | 1.46x |
| bitECS S&P (Native) | 4.386 ms | 30.337 ms | 1.14x |
| WASM ECS S&P (Insertion) | 0.946 ms | 0.983 ms | 5.30x |
| WASM ECS S&P (Quick) | 1.143 ms | 1.207 ms | 4.39x |
| WASM ECS S&P (Merge) | 1.105 ms | 1.151 ms | 4.54x |
| WASM Tree | 3.753 ms | 3.932 ms | 1.34x |
